Cote;ISBD;Note1;;Note2;Indexation 600;Indexation 606;;;
*C1995-CON3*;Colloque Contribution à une culture de l'objet: Mercredi 18 janvier [enregistrement sonore] / Conception et coordination Claude Rossignol et Olivier Lerch. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1995. - 5 cassettes audio;"Colloque les 17 et 18 janvier 1995 de 9h à 12h et 14h à 18h à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Traversé et alimenté par les conceptions qui régissent les domaines du design, de la communication et de l'art, le Groupe Objet de notre école entend approfondir son champs de réflexions en invitant diverses personnalités, venues d'horizons très différents à se rencontrer et à mettre en commun, pendant deux jours, leurs expériences et leurs conceptions. Créateurs, artistes, designers, architectes, conservateurs de musées, historiens d'art, philosophes viseront, comme le suggère Andrea Branzi ""à proposer de nouvelles stratégies théoriques, des espaces hypothétiques mais réels, à la manière d'un plateau de tournage où serait mis en scène un récit permanent."" (Source: Rapport d'activité 1995)";;Fichier numérisé disponible.;;;;;
*C1995-CON5*;Colloque Contribution à une culture de l'objet: Mercredi 18 janvier [enregistrement sonore] / Conception et coordination Claude Rossignol et Olivier Lerch. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1995. - 5 cassettes audio;"Colloque les 17 et 18 janvier 1995 de 9h à 12h et 14h à 18h à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Traversé et alimenté par les conceptions qui régissent les domaines du design, de la communication et de l'art, le Groupe Objet de notre école entend approfondir son champs de réflexions en invitant diverses personnalités, venues d'horizons très différents à se rencontrer et à mettre en commun, pendant deux jours, leurs expériences et leurs conceptions. Créateurs, artistes, designers, architectes, conservateurs de musées, historiens d'art, philosophes viseront, comme le suggère Andrea Branzi ""à proposer de nouvelles stratégies théoriques, des espaces hypothétiques mais réels, à la manière d'un plateau de tournage où serait mis en scène un récit permanent."" (Source: Rapport d'activité 1995)";;Fichier numérisé disponible.;;;;;
*C1995-CON6*;Colloque Contribution à une culture de l'objet: Mercredi 18 janvier [enregistrement sonore] / Conception et coordination Claude Rossignol et Olivier Lerch. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1995. - 5 cassettes audio;"Colloque les 17 et 18 janvier 1995 de 9h à 12h et 14h à 18h à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Traversé et alimenté par les conceptions qui régissent les domaines du design, de la communication et de l'art, le Groupe Objet de notre école entend approfondir son champs de réflexions en invitant diverses personnalités, venues d'horizons très différents à se rencontrer et à mettre en commun, pendant deux jours, leurs expériences et leurs conceptions. Créateurs, artistes, designers, architectes, conservateurs de musées, historiens d'art, philosophes viseront, comme le suggère Andrea Branzi ""à proposer de nouvelles stratégies théoriques, des espaces hypothétiques mais réels, à la manière d'un plateau de tournage où serait mis en scène un récit permanent."" (Source: Rapport d'activité 1995)";;Fichier numérisé disponible.;;;;;
*C1995-CON7*;Colloque Contribution à une culture de l'objet: Mercredi 18 janvier [enregistrement sonore] / Conception et coordination Claude Rossignol et Olivier Lerch. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1995. - 5 cassettes audio;"Colloque les 17 et 18 janvier 1995 de 9h à 12h et 14h à 18h à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Traversé et alimenté par les conceptions qui régissent les domaines du design, de la communication et de l'art, le Groupe Objet de notre école entend approfondir son champs de réflexions en invitant diverses personnalités, venues d'horizons très différents à se rencontrer et à mettre en commun, pendant deux jours, leurs expériences et leurs conceptions. Créateurs, artistes, designers, architectes, conservateurs de musées, historiens d'art, philosophes viseront, comme le suggère Andrea Branzi ""à proposer de nouvelles stratégies théoriques, des espaces hypothétiques mais réels, à la manière d'un plateau de tournage où serait mis en scène un récit permanent."" (Source: Rapport d'activité 1995)";;Fichier numérisé disponible.;;;;;
*C1995-CON8*;Colloque Contribution à une culture de l'objet: Mardi 17 janvier [enregistrement sonore] / Conception et coordination Claude Rossignol et Olivier Lerch. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1995. - 4 cassettes audio;"Colloque les 17 et 18 janvier 1995 de 9h à 12h et 14h à 18h à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Traversé et alimenté par les conceptions qui régissent les domaines du design, de la communication et de l'art, le Groupe Objet de notre école entend approfondir son champs de réflexions en invitant diverses personnalités, venues d'horizons très différents à se rencontrer et à mettre en commun, pendant deux jours, leurs expériences et leurs conceptions. Créateurs, artistes, designers, architectes, conservateurs de musées, historiens d'art, philosophes viseront, comme le suggère Andrea Branzi ""à proposer de nouvelles stratégies théoriques, des espaces hypothétiques mais réels, à la manière d'un plateau de tournage où serait mis en scène un récit permanent."" (Source: Rapport d'activité 1995)";;Fichier numérisé disponible.;;;;;
*C1995-CON9*;Colloque Contribution à une culture de l'objet: Mardi 17 janvier [enregistrement sonore] / Conception et coordination Claude Rossignol et Olivier Lerch. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1995. - 4 cassettes audio;"Colloque les 17 et 18 janvier 1995 de 9h à 12h et 14h à 18h à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Traversé et alimenté par les conceptions qui régissent les domaines du design, de la communication et de l'art, le Groupe Objet de notre école entend approfondir son champs de réflexions en invitant diverses personnalités, venues d'horizons très différents à se rencontrer et à mettre en commun, pendant deux jours, leurs expériences et leurs conceptions. Créateurs, artistes, designers, architectes, conservateurs de musées, historiens d'art, philosophes viseront, comme le suggère Andrea Branzi ""à proposer de nouvelles stratégies théoriques, des espaces hypothétiques mais réels, à la manière d'un plateau de tournage où serait mis en scène un récit permanent."" (Source: Rapport d'activité 1995)";;Fichier numérisé disponible.;;;;;
*C1995-COU*;Fonctionnel ou artistique: l'objet du discours [enregistrement sonore] / Claude Courtecuisse. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1995. - 1 cassette audio;"Conférence de Claude Courtecuisse le mercredi 11 janvier à 18h30 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Dans un contexte actuel où les tratiques de la création en architecture, en design de produit, en communication et en art, ont tendance à transgresser les territoires établis et à entremêler les sources d'inspiration, il apparaît intéressant d'explorer ce qui constitue leur identité profonde et la lecture qui en découle. A partir d'une énumération comparative d'objets fonctionnels issus de l'espace de l'habitation et de meubles-sculptures conçus dans une optique artistique, le propos consiste à mettre en évidence ce qui argumente la réflexion du designer face à celle de l'artiste et inversement. Utile ou critique? Sous des apparences communes, la question sur la réalité de l'objet et du sens qu'il génère se pose..."" (Source: Rapport d'activité 1995)";;Fichier numérisé disponible.;;;;;
*C1995-HIL1*;Ecriture et arts visuels dans l'espace des nouvelles technologies [enregistrement sonore] / Norbert Hillaire. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1995. - 1 cassette audio (une 2ème était cassée);"Conférence donnée le 22 mars 1995 à 18h30 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""L'approche de l'écriture comme technique d'organisation et de régulation des formes de l'échange n'est pas dissociable de la question de l'imaginaire et de ses sources (imaginaire collectif ou faculté individuelle d'imaginer). A l'époque où certaines pratiques artistiques contemporaines utilisent le temps réel comme source des interactions entre l'?uvre et le spectateur, on essaiera de poser cette question, à notre sens fondamental: est-il possible de réintroduire le bonheur du temps différé dans le temps réel de la perception?"" (Source: Rapport d'activité 1995)";;Fichier numérisé disponible.;;Écriture;;;
*C1995-KIE*;Le compositeur est-il devenu un plasticien? [enregistrement sonore] : Regards croisés sur l'avant-garde musicale des années soixante / Détlef Kieffer. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1995. - 1 cassette audio;"Conférence donnée le 20 décembre 1995 à 18h30 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Lointains héritiers des futuristes ou des surréalistes, enfants naturels de la pensée de John Cage, certains compositeurs des années 60 - à l'époque d'un sérialisme intégriste triomphant - délaissent la notation musicale traditionnelle pour un médium ambivalent, représentation visuelle radicale du phénomène musical: la partition est devenue un ""objet à contempler"". (...)""(Source: Rapport d'activité 1995)";;Fichier numérisé disponible.;;Musique expérimentale;;;
*C1995-KRE*;"Du goût à la création [enregistrement sonore] : Cycle ""La raison gourmande de l'art"" / Marc Kreydenweiss. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1995. - 1 cassette audio";"Conférence donnée le 20 décembre 1995 à 18h30 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Evoquant l'élaboration singulière de ses vins, parmi les plus remarquables d'Alsace, M. Kreydenweiss parle de formes et de structures, de tensions, de couleurs. Il s'agit, à partir de sensations gustatives, d'une démarche de création faite d'exigence et d'imagination, mais encore étayée par des investigations historiques, des prospections géologiques et les techniques de bio-dynamie. (...) Cette attitude explique que M. Kreydenweiss souhaite depuis 1984 demander chaque année à un artiste de créer ses étiquettes. (...)"" (Source: Rapport d'activité 1995)";;Fichier numérisé disponible.;;Viticulture;;;
*C1995-MAR*;Méditer la couleur; La couleur autonome [enregistrement sonore] / Ellen Marx, Carlos Cruz-Diez. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1996. - 1 cassette audio;Conférence, intervention commune de Ellen Marx et Carlos Cruz-Diez donnée le 7 février 1995 à 18h30 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg.;;;;Couleur;;
*C1995-MAS*;Style et écriture [enregistrement sonore] / René Massin. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1995. - 1 cassette audio;"Conférence donnée le 11 octobre 1995 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Les thèmes que développera cet exposé illustré de diapositives sont au nombre de deux: 1. L'interaction des arts, fondée sur les correspondances baudelairiennes et, à l'ère de l'informatique, répandue par les multimédias. 2. La permanence, à des époques données, d'une référence à un style, sinon à des modes, et qui concerne aussi bien les arts graphiques et la typographie, l'architecture et le mobilier, que la musique, le costume ou l'art des jardins. Comme on voit, ces thèmes sont complices, dès lors que des passerelles sont jetées aujourd'hui entre des activités ou des disciplines qu'on a trop longtemps voulu considérer comme rivales."" (Source: Rapport d'activité 1995)";;Fichier numérisé disponible.;;Mouvements artistiques;;;
*C1995-MAU*;Protéger la création [enregistrement sonore] / René Massin. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1995. - 1 cassette audio;"Conférence donnée le 18 octobre 1995 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""FRAC, Centres d'Art..., des institutions existent désormais pour l'art contemporain, mais les malentendus demeurent sur leurs rôles et leurs fonctions, tout comme la confusion se maintient entre création et action culturelle, or la création est nécessaire au moins pour ce qu'elle dit de l'état d'une société."" (Source: Rapport d'activité 1995)";;Fichier numérisé disponible.;;Fonds régionaux d'art contemporain;;;
*C1995-PAL1*;Le cinéma allemand entre les deux guerres: magie des ombres et des lumières [enregistrement sonore] / Jean-Michel Palmier. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1995. - 2 cassettes audio;"Conférence donnée le 25 janvier 1995 à 18h30 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""L'intérêt pour les films expressionnistes se comprend aisément: leur beauté, leur atmosphère fantastique et angoissante, la nouveauté des techniques, l'extrême originalité qui les caractérise (jeu des acteurs, types d décors, d'éclairages, etc...) n'ont pas manqué de retenir l'attention des historiens du cinéma. Quant au public, il succombe facilement à la fascination qu'exerce cette magie d'ombres et de lumières, ce climat de peur et il succombe facilement à la fascination qu'exerce cette magie d'ombres et de lumières, ce climat de peur et d'irréalité."" (Source: Rapport d'activité 1995)";;Fichier numérisé disponible.;;Cinéma;;;
*C1995-PAL2*;Le cinéma allemand entre les deux guerres: magie des ombres et des lumières [enregistrement sonore] / Jean-Michel Palmier. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1995. - 2 cassettes audio;"Conférence donnée le 25 janvier 1995 à 18h30 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""L'intérêt pour les films expressionnistes se comprend aisément: leur beauté, leur atmosphère fantastique et angoissante, la nouveauté des techniques, l'extrême originalité qui les caractérise (jeu des acteurs, types d décors, d'éclairages, etc...) n'ont pas manqué de retenir l'attention des historiens du cinéma. Quant au public, il succombe facilement à la fascination qu'exerce cette magie d'ombres et de lumières, ce climat de peur et il succombe facilement à la fascination qu'exerce cette magie d'ombres et de lumières, ce climat de peur et d'irréalité."" (Source: Rapport d'activité 1995)";;Fichier numérisé disponible.;;Cinéma;;;
*C1995-PER*;Des situations en chantier: perspectives sur la jeune création [enregistrement sonore] / Frank Perrin. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1995. - 1 cassette audio;"Conférence de Frank Perrin le mercredi 22 novembre à 18h30 à l'Ecole des Arts Décoratifs de Strasbourg. ""Le champ de l'art semble ne plus avoir de lieu de prédilection. Plus de lieu saint, fin du White Cube, l'art n'a pas pas de lieu, il a lieu, en perpétuelle recherche de nouveaux territoires. Expulsés et nomades, perméables et mobiles, les territoires artistiques se déplacent et se reconfigurent aujourd'hui sous l'impulsion de nouvelles emprises: cinématographiques, technologies, sociales comme économiques..."" (Source: Rapport d'activité 1995)";;Fichier numérisé disponible.;;;;;
*C1995-ROU*;Faire un tableau aujourd'hui, pourquoi et comment? Une réponse américaine [enregistrement sonore] / Bruno Rousselot. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1995. - 1 cassette audio;"Conférence donnée le 12 avril 1995 à 18h30 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Il sera question d'un groupe d'artistes abstraits de 35 à 50 ans environ, qui donnent des réponses nouvelles et différentes à cette question: faire un tableau aujourd'hui, pourquoi et comment? Je m'appuierai sur mon expérience à New-York et sur les artistes que je connais personnellement: Garry Lang, Craig Fisher, Lydia Dona, Stephan Ellis, David Row..."" (Source: Rapport d'activité 1995)";;Fichier numérisé disponible.;Rousselot;Peinture;;;
*C1995-SCI*;[Conférence] [enregistrement sonore] / Pierre di Sciullo. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1995. - 1 cassette audio;"Conférence de Pierre di Sciullo le mardi 28 mars 1995 à 18h30 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Graphiste indépendant depuis 1984, Pierre di Sciullo a toujours mené de front ses recherches graphiques et typographiques. (...) ""Aventures typographiques"", Présentation de productions choisies dans les expériences et les commandes."" (Source: Rapport d'activité 1995)";;Fichier numérisé disponible.;;;;;
*C1995-VOR*;Du devant au dedans de la couleur [enregistrement sonore] / Isabelle Vorlé. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1995. - 1 cassette audio;"Conférence de Isabelle Vorlé le mercredi 15 novembre à 18h30 à l'Ecole des Arts Décoratifs de Strasbourg. ""Dans ce parcours fondé sur une pratique plastique, il sera question de contrastes perturbants, de couleurs dièse et bémol, des différents états de couleur, de réceptacles à ondes colorées, de mise en mémoire des couleurs..."" (Source: Rapport d'activité 1995)";;Fichier numérisé disponible.;;;;;
*C1996 - ARR*;Poétique du paysage photographique contemporain [enregistrement sonore] / Jean Arrouye. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1996. - 1 cassette audio;"Conférence donnée le 27 mars 1996 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg par Jean Arrouye, sémiologue, professeur à l'Université d'Aix-en-Provence et à l'Ecole Nationale de la Photographie à Arles. ""Poétique du paysage photographique contemporain : La photographie est affaire de modalisation (ce qui recouvre les notions habituelles de vision et de styles) originale des spectacles du monde. Même, et surtout, quand elle se déclare au service d'un référent, le paysage en l'occurrence. Sur l'exemple d'oeuvres de photographes contemporains (Amar, Barre, Bauer, Descamps, Dieuzade, Heller, Lefebvre, Siskind, Sudre...) on montrera comment le paysage est modalisé, métamorphosé, et même inventé ex nihilo. Source : Rapport d'activité 1996";;Fichier numérisé disponible.;;Photographie de paysage;;;
*C1996 - BAB*;La culture à l'envers [enregistrement sonore] : Intervention musicale / Jacopo Baboni Schilingi. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1996. - 1 cassette audio;;;Fichier numérisé disponible.;;;;;
*C1996 - DEO*;Le Centre Georges Pompidou [enregistrement sonore] : les raisons d'une fermeture / Jean-Louis Déotte. - Strasbourg : Ecole Supérieure des Arts Décoratifs, 1996. - 1 cassette audio;Conférence donnée le 23 octobre 1996 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg par Jean-Louis Déotte, maître de conférence à l'université de Paris VIII et membre du Collège international de philosophie ;" il dirige également la collection ""Esthétique"" chez l'Harmattan. ""Le Centre Georges Pompidou : les raisons d'une fermeture. Cette fermeture sera analysée à partir de quelques points symptomatiques d'utopies des années 1970 : le mythe de l'interdisciplinarité, la convergence problématique des différents départements du centre, les caractéristiques architecturales spécifiques (en particulier le choix du verre), les problèmes du Musée d'Art Moderne"". Source : Rapport d'activité 1996";;;Centre national d'art et de culture Georges Pompidou;;;
*C1996-ARN*;La musique est au c?ur de la création plastique [enregistrement sonore] / Catherine Arnaud. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1996. - 2 cassettes audio;"Conférence donnée le 16 octobre 1996 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Bien souvent, le critique d'art peut avoir recours à des termes qu'il emprunte au langage musical";" rythmes, mouvements, vibrations, pour mieux rendre compte d'une ?uvre picturale. Les compositeurs, eux, parleront de chromatisme (chroma=couleur), de dessin, de ligne et maintenant de forme, de texture. N'y a-t'il pas là un rapprochement entre deux disciplines dont l'une a pour fonction d'ordonner l'espace alors que l'autre se définit comme projection dans le temps? Au-delà de cette altérité, n'existe-t-il pas cependant un lien obscur mais essentiel, point d'intersection entre deux ordres différents de la création artistique?"" (Source: Rapport d'activité 1996)";;;;Art et musique;;
*C1996-BER*;Le MAMCO, un musée à l'épreuve de l'art contemporain [enregistrement sonore] / Christian Bernard. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1996. - 1 cassette audio;"Conférence le 9 octobre 1996 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Nous savons tous que depuis bientôt quarante ans, l'essentiel de ce qui a ?uvré explicitement à la réinvention permanente de l'idée même d'art, comme à l'extension continue des formes, des matériaux, des territoires, des concepts - en un mot, des possibles de l'?uvre d'art - s'est développé la plupart du temps sans ou contre l'instrument, le lieu de mémoire que prétend être le musée. On comprendra assurément, que les difficultés sont immenses et elles supposent de déchirantes révisions dans l'organisation, tout comme dans le fonctionnement même d'un musée."" (Source: Rapport d'activité 1996)";;Fichier numérisé disponible.;;Muséologie;;;
*C1996-CHA*;Sculpteur principalement [enregistrement sonore] / Marc Charpin. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1996. - 1 cassette audio;"Conférence donnée le 20 novembre 1996 à 18h30 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Sculpteur principalement, voici comment j'aime définir mon activité. Bien que le recours à d'autres techniques soit dans ma pratique fréquent (celles, notamment qui permettent la réalisation d'images planes comme la gravure, la lithographie, la photographie, la photographie ou la sérigraphie), ces techniques sont pour moi, un moyen de trouver des éclairages différents pour répondre à une unique question: celle de la sculpture."" (Source: Rapport d'activité 1996)";;Fichier numérisé disponible.;Charpin;;;;
*C1996-FOR*;De l'art sociologique à l'esthétique de la communication [enregistrement sonore] / Fred Forest. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1996. - 1 cassette audio;"Conférence de Fred Forest le mercredi 24 janvier à 18h30 à l'Ecole des Arts Décoratifs de Strasbourg. ""Dans une situation historique de rupture sans précédent, l'artiste affirme ""qu'il faut aujourd'hui inventer d'autres arts et non pas tenter d'adapter des modèles d'expression historiquement périmés aux nécessités du jour"". Nous sommes situés dans un ordre du réel lié à l'information et le fonctionnement complexe de cet ordre place l'individu dans une position inédites. Le but des artistes, dans la pratique, relève de l'esthétique de la communication";" il n'a pas à produire de significations au premier niveau, mais il peut nous faire prendre conscience comment la pratique généralisée de la communication inter-agit sur l'ensemble de nos systèmes de perception et de représentation."" (Source: Rapport d'activité 1995)";;;;;;
*C1996-HAM1*;Le rôle de la presse dans l'évaluation du design [enregistrement sonore] / Chantal Hamaide. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1996. - 2 cassettes audio;"Conférence le 13 novembre 1996 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Intramuros, revue de design créée en septembre 1985 en France, observe et analyse la création industrielle dans sa dimension culturelle et économique sur un plan international. Intramuros revendique un parti-pris rédactionnel et visuel (noir et blanc), son exploration des évènements en font un outil professionnel certes, mais aussi pédagogique."" (Source: Rapport d'activité 1996)";;Fichier numérisé disponible.;;Design industriel;;;
*C1996-HAM2*;Le rôle de la presse dans l'évaluation du design [enregistrement sonore] / Chantal Hamaide. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1996. - 2 cassettes audio;"Conférence le 13 novembre 1996 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Intramuros, revue de design créée en septembre 1985 en France, observe et analyse la création industrielle dans sa dimension culturelle et économique sur un plan international. Intramuros revendique un parti-pris rédactionnel et visuel (noir et blanc), son exploration des évènements en font un outil professionnel certes, mais aussi pédagogique."" (Source: Rapport d'activité 1996)";;Fichier numérisé disponible.;;Design industriel;;;
*C1996-IMA1*;L'imaginaire scientifique [enregistrement sonore] / Colloque coordonné par Thomas Soriano. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1996. - 1 cassette audio;"Colloque le 15 mai 1996 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Le thème des figures et structures de l'imaginaire scientifique, les relations qu'entretiennent théorie et imaginaire, heuristique et esthétique seront explorés par les différents intervenants, scientifiques, philosophes, anthropologues et artistes."" (Source: Rapport d'activité 1996)";;Fichier numérisé disponible.;;Art et sciences;;;
*C1996-IMA2*;L'imaginaire scientifique [enregistrement sonore] / Colloque coordonné par Thomas Soriano. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1996. - 1 cassette audio;"Colloque le 15 mai 1996 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Le thème des figures et structures de l'imaginaire scientifique, les relations qu'entretiennent théorie et imaginaire, heuristique et esthétique seront explorés par les différents intervenants, scientifiques, philosophes, anthropologues et artistes."" (Source: Rapport d'activité 1996)";;Fichier numérisé disponible.;;Art et sciences;;;
*C1996-IMA3*;L'imaginaire scientifique [enregistrement sonore] / Colloque coordonné par Thomas Soriano. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1996. - 1 cassette audio;"Colloque le 15 mai 1996 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Le thème des figures et structures de l'imaginaire scientifique, les relations qu'entretiennent théorie et imaginaire, heuristique et esthétique seront explorés par les différents intervenants, scientifiques, philosophes, anthropologues et artistes."" (Source: Rapport d'activité 1996)";;Fichier numérisé disponible.;;Art et sciences;;;
*C1996-LAV*;De la peinture au virtuel ou l'art du voyage initiatique [enregistrement sonore] / Sophie Lavaud. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1996. - 1 cassette audio;"Conférence le 30 octobre 1996 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Ce que permet aujourd'hui l'informatique, c'est de donner au spectateur (ou plutôt spect-acteur) la possibilité d'expérimenter la relation entre lui et l'environnement virtuel avec lequel il va ""inter-agir"" dans un jeu de communication et d'adaptation. Grâce au capteur qu'il porte sur lui, le spectateur transforme l'image au gré de ses mouvements et construit sa vision de l'?uvre au fur et à mesure des déplacements de son corps."" (Source: Rapport d'activité 1996)";;Fichier numérisé disponible.;Lavaud;Art numérique;;;
*C1996-MIL1*;La communication urbaine: du tag au graff [enregistrement sonore] / Alain Milon. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1996. - 2 cassettes audio;"Conférence le 27 novembre 1996 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Les enjeux socio-culturels de la sous-culture Hip-Hop. Les notions de sous-culture et de ""contre culture"", on évoquera ces questions de communauté, de territoire et d'écologie urbaine. En filigrane, le statut de la figure de l'Etranger et de la relégation. C'est dans ce contexte que le tag sera envisagé en tant que désir de reconnaissance, à la fois expression publique, forme artistique et peut-être nouvelle syntaxe."" (Source: Rapport d'activité 1996)";;Fichier numérisé disponible.;;Hip-hop;;;
*C1996-MIL2*;La communication urbaine: du tag au graff [enregistrement sonore] / Alain Milon. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1996. - 2 cassettes audio;"Conférence le 27 novembre 1996 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Les enjeux socio-culturels de la sous-culture Hip-Hop. Les notions de sous-culture et de ""contre culture"", on évoquera ces questions de communauté, de territoire et d'écologie urbaine. En filigrane, le statut de la figure de l'Etranger et de la relégation. C'est dans ce contexte que le tag sera envisagé en tant que désir de reconnaissance, à la fois expression publique, forme artistique et peut-être nouvelle syntaxe."" (Source: Rapport d'activité 1996)";;Fichier numérisé disponible.;;Hip-hop;;;
*C1996-MIT*;L'art du vin, l'art et le vin [enregistrement sonore] / Christophe Mittmacht. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1996. - 1 cassette audio;"Conférence donnée le 18 décembre 1996 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Table ronde avec Patrick Bailly-Maitre-Grand, photographe, Serge Lucquet, architecte et Madeleine Millot-Durrenberger, collectionneuse. ""Quelles relations peuvent exister entre l sensibilité artistique et celle d'un viticulteur appelé à travailler avec des senteurs, des forces, des goûts et des saveurs? Et comment s'opèrent les rencontres que suscite le viticulteur avec l'art? Christophe Mittnacht évoquera son travail de viticulteur et les relations qu'il entretient avec les artistes et les architectes. Cette intervention poursuit le cycle de conférences inauguré la saison dernière sur le thème de La raison gourmande de l'art (Michel Onfray)."" (Source: Rapport d'activité 1996)";;Fichier numérisé disponible.;;Vin;;;
*C1996-PER*;"Graver pour illustrer. Le peintre et le livre de Bonnard à Barcelo"" [enregistrement sonore] / Emmanuel Pernoud. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1996. - 1 cassette audio";"Conférence donnée le 13 mars 1996 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""Le XXe siècle est celui de la rencontre entre les peintres et les écrivains. Du livre illustré au livre d'artiste, le livre s'est transformé sous l'action des artistes. L'estampe est le vecteur privilégié de cette rencontre: qu'elle prenne la place de l'eau-forte, de la gravure sur bois, de la lithographie ou de la sérigraphie, elle a donné des images aux mots, elle a répondu au signe écrit par des signes graphiques."" (Source: Rapport d'activité 1996)";;Fichier numérisé disponible.;;;;;
*C1996-PET*;Redonner un sens à la vie collective: espace public et tramway à Strasbourg [enregistrement sonore] / Alfred Peter. - Strasbourg : Ecole Supérieure des Arts Décoratifs de Strasbourg, 1996. - 1 cassette audio;"Conférence donnée le 3 avril 1996 à 18h30 à l'Ecole Supérieure des Arts Décoratifs de Strasbourg. ""La décision d'installer un tramway en ville n'engendre pas systématiquement un nouveau paysage de grande qualité"; c'est, au départ un réseau de plus qui s'installe sur des espaces déjà occupés, mais cela peut être aussi être l'occasion de dessiner une ville plus humaine avec, si possible moins de tensions, de bruits, de ségrégations. L'étude de cas de figure spécifiques (quartiers de banlieue; retraitement de grandes voies urbaines;Fichier numérisé disponible.;;;;
